"id","pos","name","team","matches","MV","FMV","goals","allowed","saved","penalties","scored","missed","assist","yellow","red","own","season"
244,"D","Ghiglione","Frosinone",9,5.83,5.94,1,0,0,0,0,0,0,4,0,0,"2018/2019"
262,"D","Santon","Roma",13,5.69,5.77,0,0,0,0,0,0,1,0,0,0,"2018/2019"
327,"D","Patric","Lazio",14,5.75,5.71,0,0,0,0,0,0,0,1,0,0,"2018/2019"
817,"D","Costa F","SPAL",8,5.88,5.88,0,0,0,0,0,0,0,0,0,0,"2018/2019"
1999,"D","Lukaku J.","Lazio",7,5.79,5.71,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2007,"D","Wallace","Lazio",15,5.57,5.2,0,0,0,0,0,0,0,3,0,2,"2018/2019"
2180,"D","Karsdorp","Roma",9,5.78,5.72,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2289,"D","Dalbert","Inter",11,5.73,5.73,0,0,0,0,0,0,1,2,0,0,"2018/2019"
2758,"D","Gunter","Genoa",12,5.67,5.62,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2793,"D","Opoku","Udinese",11,5.45,5.23,0,0,0,0,0,0,0,5,0,0,"2018/2019"
2810,"D","Brighenti","Frosinone",11,5.64,5.45,0,0,0,0,0,0,0,4,0,0,"2018/2019"
45,"D","Ferrari A.","Sampdoria",6,5.67,5.5,0,0,0,0,0,0,0,2,0,0,"2018/2019"
78,"D","Spolli","Genoa",7,5.43,5,0,0,0,0,0,0,0,2,0,1,"2018/2019"
103,"D","Frey","Chievo",3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,"2018/2019"
105,"D","Gobbi","Parma",15,5.43,5.4,0,0,0,0,0,0,1,3,0,0,"2018/2019"
251,"D","Andreolli","Chievo",10,5.4,5.25,0,0,0,0,0,0,0,3,0,0,"2018/2019"
285,"D","Barzagli","Juventus",4,6,6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
393,"D","Luperto","Napoli",10,5.65,5.65,0,0,0,0,0,0,0,0,0,0,"2018/2019"
490,"D","Regini","SPAL",3,6,6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
640,"D","Chiriches","Napoli",2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,"2018/2019"
663,"D","Krafth","Bologna",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
824,"D","Adjapong","Sassuolo",4,6,6.62,1,0,0,0,0,0,0,1,0,0,"2018/2019"
1984,"D","Angella","Udinese",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2015,"D","Letschert","Sassuolo",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2594,"D","Lemos","Sassuolo",3,5.5,5.5,0,0,0,0,0,0,0,0,0,0,"2018/2019"
