"id","name","p","d","c","a"
"27","Grassi",0,0,1,0
"58","Diawara",0,0,1,0
"118","Radovanovic",0,1,1,0
"147","Diousse'",0,0,1,0
"235","Laxalt",0,1,1,0
"301","Padoin",0,0,1,0
"438","Rigoni L",0,0,1,0
"471","Ucan",0,0,1,0
"528","Magnanelli",0,0,1,0
"1858","Krejci",0,0,1,0
"2107","Kiyine",0,0,1,0
"2141","Depaoli",0,1,1,0
"2213","Cassata",0,0,1,0
"2290","Eysseric",0,0,1,0
"2646","Sandro",0,0,1,0
"2659","Dabo",0,0,1,0
"2744","Svanberg",0,0,1,0
"4330","Lerager",0,0,1,0
"4338","Jankovic",0,0,1,0
"56","Brighi",0,0,1,0
"209","Sammarco",0,0,1,0
"276","Biabiany",0,0,1,0
"300","Marchisio",0,0,1,0
"305","Sturaro",0,0,1,0
"405","Valdifiori",0,0,1,0
"560","Obi",0,0,1,0
"626","Hallfredsson",0,0,1,0
"669","Donsah",0,0,1,0
"2076","Rog",0,0,1,0
"2741","Pessina",0,0,1,0
"2855","Vieira",0,0,1,0
"60","Rizzo",0,0,1,0
"81","Di Gaudio",0,0,1,0
"119","Rigoni N",0,0,1,0
"210","Soddimo",0,0,1,0
"494","Barreto",0,0,1,0
"631","Viviani",0,0,1,0
"666","Machin",0,0,1,0
"1859","Nagy",0,0,1,0
"1871","Deiola",0,0,1,0
"2058","Sanchez C",0,0,1,0
"2193","Gonalons",0,0,1,0
"2652","Everton Luiz",0,0,1,0
"2856","Rolon",0,0,1,0
"2866","Vloet",0,0,1,0
"4327","Oliva",0,0,1,0
"205","Gori",0,0,1,0
"366","Bertolacci",0,0,1,0
"589","Badu",0,0,1,0
"1976","Mazzitelli",0,0,1,0
"2210","Falletti",0,0,1,0
"2332","Bruno Jordao",0,0,1,0
"2760","Callegari",0,0,1,0
"2803","Scavone",0,0,1,0
"2830","Norgaard",0,0,1,0
"4349","Nicolussi Caviglia",0,0,1,0
"57","Crisetig",0,0,1,0
"173","Capezzi",0,0,1,0
"371","Mauri J",0,0,1,0
"400","Dezi",0,0,1,0
"600","Verre",0,0,1,0
"1872","Dessena",0,0,1,0
"2075","Cristoforo",0,0,1,0
"2133","Valencia Jm",0,0,1,0
"2183","Garritano",0,0,1,0
"2191","Ingelsson",0,0,1,0
"2811","Kone'",0,0,1,0
"2828","Colombatto",0,0,1,0
"2833","Kulusevski",0,0,1,0
